Gene,Ensembl ID,Gene Description,Synonym,OMIM ID,Functio l Summary from Literature,Ciliary Localization,Reference,Protein complexes,Gene annotation
BBIP1,ENSG00000214413,BBSome interacting protein 1 [Source:HGNC Symbol;Acc:HGNC:28093],BA348N5.3; BBIP10; BBS18; NCR 00081,613605,"Component of BBSome, implicated in BBS (BBS18) 24026985, 32055034","basal body, cilia",19081074; 24026985; 32055034,BBSome,NA
BBOF1,ENSG00000119636,basal body orientation factor 1 [Source:HGNC Symbol;Acc:HGNC:19855],C14ORF45; CCDC176; FBB10,620496,Required to maintain cilia orientation in multiciliated cells,basal body,23900544,NA,NA
BBS1,ENSG00000174483,Bardet-Biedl syndrome 1 [Source:HGNC Symbol;Acc:HGNC:966],FLJ23590,209901,"Mutated in Bardet-Biedl syndrome (type 1) OMIM 209901 12118255. Forms part of BBSome, mediates interaction with RABIN8 (RAB3IP), important for RAB8-mediated membrane protein trafficking 20603001, PMID:17574030, PMID:22072986","basal body, cilia",12118255; 20603001; 17574030; 22072986,BBSome,Ciliary function
BBS10,ENSG00000179941,Bardet-Biedl syndrome 10 [Source:HGNC Symbol;Acc:HGNC:26291],C12ORF58; FLJ23560,610148,Mutated in Bardet-Biedl syndrome (type 10) OMIM 610148 PMID:16582908. Chaperonin-like protein. Forms complex with other chaperonin-like BBS proteins to facilitate BBSome assembly PMID:20080638. At basal body of differentiating preadipocytes. Role in targeting of Wnt and Hh receptors to this cilium PMID:19190184,basal body,16582908; 20080638,NA,Ciliary function
BBS12,ENSG00000181004,Bardet-Biedl syndrome 12 [Source:HGNC Symbol;Acc:HGNC:26648],C4ORF24; FLJ35630; FLJ41559,610683,Mutated in Bardet-Biedl syndrome (type 12) OMIM 610683 PMID:17160889 Forms complex with other chaperonin-like BBS proteins to facilitate BBSome assembly PMID:20080638. At basal body of differentiating preadipocytes. Role in targeting of Wnt and Hh receptors to this cilium PMID:19190184.,basal body,17160889; 20080638; 19190184.,MKKS-BBS12 complex,Ciliary function
BBS2,ENSG00000125124,Bardet-Biedl syndrome 2 [Source:HGNC Symbol;Acc:HGNC:967],BBS,606151,"Mutated in Bardet-Biedl syndrome (type 2) OMIM 606151 PMID:11285252. Forms part of BBSome, important for RAB8-mediated membrane protein trafficking 20603001, PMID:17574030, PMID:22072986","basal body, cilia, transition zone",11285252; 20603001; 17574030; 22072986,BBSome,Ciliary function
BBS4,ENSG00000140463,Bardet-Biedl syndrome 4 [Source:HGNC Symbol;Acc:HGNC:969],NA,600374,"Mutated in Bardet-Biedl syndrome (type 4) OMIM 600374 PMID:11381270. Forms part of BBSome, important for RAB8-mediated membrane protein trafficking 20603001, PMID:17574030, PMID:22072986","basal body, cilia",11381270; 20603001; 17574030; 22072986,BBSome; BBS4 centriolar satellite complex,Ciliary function
BBS5,ENSG00000163093,Bardet-Biedl syndrome 5 [Source:HGNC Symbol;Acc:HGNC:970],DKFZP762I194,603650,"Mutated in Bardet-Biedl syndrome (type 5) OMIM 603650 PMID:15137946. Forms part of BBSome, mediates binding to phospholipids, predomi ntly phosphatidylinositol 3- phosphate 20603001, PMID:17574030, PMID:22072986.",basal body,15137946; 20603001; 17574030; 22072986,BBSome,Ciliary function
BBS7,ENSG00000138686,Bardet-Biedl syndrome 7 [Source:HGNC Symbol;Acc:HGNC:18758],BBS2L1; FLJ10715,607590,"Mutated in Bardet-Biedl syndrome (type 7) OMIM 607590 PMID:12567324. Forms part of BBSome important for RAB8-mediated membrane protein trafficking 20603001, PMID:17574030, PMID:22072986","basal body, cilia",12567324; 20603001; 17574030; 22072986,BBSome,Ciliary function
BBS9,ENSG00000122507,Bardet-Biedl syndrome 9 [Source:HGNC Symbol;Acc:HGNC:30000],B1; PTHB1,607968,"Mutated in Bardet-Biedl syndrome (type 7) OMIM 607968 PMID:16380913. Forms part of BBSome, important for RAB8-mediated membrane protein trafficking. Complex-organizing subunit of BBSome. 20603001, PMID:17574030, PMID:22072986",cilia,16380913; 20603001; 17574030; 22072986,BBSome,Ciliary function
C2CD3,ENSG00000168014,C2 domain containing 3 centriole elongation regulator [Source:HGNC Symbol;Acc:HGNC:24564],DKFZP586P0123,615944,"C2cd3 is an essential regulator of intracellular transduction of the Hedgehog sig l (19004860). Regulates primary cilium biogenesis, recruiting centriolar distal appendage proteins. C2cd3 is essential for ciliary vesicle docking (24469809). Promotes centriolar elongation (24997988)",basal body,19004860; 24469809; 24997988.,Distal appendage,NA
CAC 1C,ENSG00000285479; ENSG00000151067,calcium voltage-gated channel subunit alpha1 C [Source:HGNC Symbol;Acc:HGNC:1390],CACH2; CACN2; CAC 1C-IT2; CACNL1A1; CAV1.2; CCHL1A1; LQT8; TS,114205,"CAC 1C, also called CaV1.2Serves as a modifier gene to cystic kidney phenotype. Plays an important role in Akt and Erk activities through cytosolic calcium and CaM ki se II. CaV1.2 might be a secondary calcium-permeable channel to the polycystins complex (24925129). CaV1.2 expression is regulated through Wnt sig ling and plays an essential sensory role in primary cilia for cellular homeostasis (24700505).",cilia,24925129; 24700505,NA,NA
CAV1,ENSG00000105974,caveolin 1 [Source:HGNC Symbol;Acc:HGNC:1527],CAV,601047,"CAV1 regulates primary cilium length by modulating apical actin cytoskeleton, its silencing results in an increased size of cilia. isoform is necessary for normal ciliary length, through mechanisms involving GTPase RhoA, ROCK and DIA1 (PMID 30718762). CAV1 membrane microdomains establishment by KIF13B and NPHP4, is essential for Sonic hedgehoginduced ciliary accumulation of Smoothened (SMO) (PMID 28134340)",transition zone,30718762; 28134340,NA,NA
CBY1,ENSG00000100211,"chibby 1, beta catenin antagonist [Source:HGNC Symbol;Acc:HGNC:1307]",C22ORF2; CBY; CHIBBY; CHIBBY1; PGEA1; PIGEA-14; PIGEA14,607757,"Inhibits beta-catenin-mediated transcriptio l activation by competing with Tcf/Lef. Cby1 is required for recruitment of Arl13b to the primary cilium. Promotes Ahi1 localisation to the centriole and is probably important for assembly and function of transition zone components (25103236). Cby1 may associate with membranes to promote the recruitment of FAM92 proteins for their higher-order assembly and subsequent membrane remodelling to promote ciliogenesis (27528616). Because of its proximity to the membrane vesicle, it is possible that Cby proteins may be involved in targeting and/or attachmentof the vesicles to the centriole, controlling intraflagellar transport and protein sorting of the ciliary membrane (22911743).","basal body , transition zone",25103236; 27528616; 22911743.,Distal appendage,NA
CC2D2A,ENSG00000048342,coiled-coil and C2 domain containing 2A [Source:HGNC Symbol;Acc:HGNC:29253],JBTS9; KIAA1345; MKS6,612013,It is essential for the assembly of subdistal appendages. Protein is required for cilia formation and predicted to be involved in calcium- dependent membrane targeting. (PMID 24947469). Interacts with CEP290 in the basal body (PMID 24947469; 18950740). CC2D2A associates with NINL to provide a docking point for incoming transport vesicles at the entrance of ciliary compartments (26485645). Required for vesicle fusion (29281629). Play a role in Ca2+ regulated sig lling pathways (18513680),"transition zone, basal body , cilia",24947469; 26485645; 29281629,CC2D2A-CEP290 complex,NA
CCDC103,ENSG00000167131,coiled-coil domain containing 103 [Source:HGNC Symbol;Acc:HGNC:32700],CILD17; FLJ13094; FLJ34211; PR46B,614677,"Participates in microtubule stabilization that facilitates dynein arm attachment and ciliary motility (28790179). Contributes to axonemal stability. A potential role, is to modify the doublet microtubule to provide a high affinity binding site for the docking complex and needed for dynein attachment (25572396) Binds microtubules and stabilises them against cold depolymerization. It is also an outer dynein arm assembly factor (31858719, 22581229)",cilia,28790179; 25572396; 31858719; 22581229,NA,NA
CCDC13,ENSG00000244607,coiled-coil domain containing 13 [Source:HGNC Symbol;Acc:HGNC:26358],FLJ25467,NA,Required for primary cilia formation and promotes the localisation of protein BBS4 to both centriolar satellites. Promotes genome stability and maintaining a stable microtubule array,basal body,24816561.,NA,NA
CCDC181,ENSG00000117477,coiled-coil domain containing 181 [Source:HGNC Symbol;Acc:HGNC:28051],C1ORF114; FLJ25846,620891,"CCDC181 is a structural component of the axonemal structure of sperm flagella as well as motile cilia. It might be a component of the apparatus necessary for the generation of ciliary motility. C-termi l region interacts with microtubules of the axoneme and Hook1, acting as a linker protein for phosphoprotein phosphatase 1 (PP1) to tack the phosphatase to the axonemal structure of cilia and flagella. Pronostic factor for prostate cancer.",cilia  cilia,28282151; 28283191.,NA,NA
CCDC28B,ENSG00000160050,coiled-coil domain containing 28B [Source:HGNC Symbol;Acc:HGNC:28163],MGC1203; RP4-622L5.5,610162,"Reportes as second site modifier of the ciliopathy Bardet-Biedl syndrome. It is a positive regulator of mTOR complex 2 and interacts with SIN1 and Kinesine 1 to regulate cilia length in vivo (23727834, 29445114).",basal body,23727834; 29445114,NA,NA
CCDC39,ENSG00000284862,coiled-coil domain 39 molecular ruler complex subunit [Source:HGNC Symbol;Acc:HGNC:25244],CFAP59; CILD14; DKFZP434A128; FAP59,613798,"CCDC39 regulates centriole/deuterosome amplification and multiciliogenesis. CCDC39/40 protein complex might define the binding site of radial spokes along peripheral microtubules and provide anchoring sites for inner dynein arms (29317443). It is essential for assembly of inner dynein arms and the dynein regulatory complex (21131972, 21131974)",cilia,29317443; 21131972; 21131974,NA,NA
CCDC40,ENSG00000291505; ENSG00000141519,coiled-coil domain 40 molecular ruler complex subunit [Source:HGNC Symbol;Acc:HGNC:26090],CFAP172; CILD15; FAP172; FLJ20753; FLJ32021; KIAA1640,613799,"CCDC40 is required for assembly of motile cilia. It is responsible for CCDC39 axonemal recruitment. It is important for cytoplasmic pre- assembly, axonemal targeting, and/or transport of axonemal components CCDC39, GAS11 and D LI1. Necessary for assembly of inner dynein arms, the dynein regulatory complex and plays a role in the establishment of the left- right patterning (21131974)",cilia,21131974,NA,NA
CCDC65,ENSG00000139537,coiled-coil domain containing 65 [Source:HGNC Symbol;Acc:HGNC:29937],CFAP250; CILD27; DRC2; FAP250; FLJ35732; NYD-SP28,611088,"This gene encodes a protein that is required for proper cilia motility and regulation of dynein activity (24094744). Assembly and mainte nce of the protein components of the nexin- dynein regulatory complex (N- DRC) and thus the regulation of cilia motion. Maintaince of the integrity of N-DRC required for regulation of dynein-driven microtubule sliding (23991085, 29167384).","cilia , basal body , transition zone",23991085; 24094744; 29167384,NA,NA
CCDC66,ENSG00000180376,coiled-coil domain containing 66 [Source:HGNC Symbol;Acc:HGNC:27709],DKFZP686C0433,619287,"Organisation of spindle pole and centriolar satellite. It is involved in cilium formation, satellite organization, BBS4 recruitment to the primary cilium and ciliary trafficking. Overexpression induces formation of microtubule bundles, disruption of centriolar satellite organization and inhibits ciliogenesis (28235840, 31582766). Interacts with ARMC9 and TOGORAM1 (32453716). When mutated in dogs causes late onset reti l degeneration (33273526)","basal body, cilia",28235840; 31582766; 32453716; 33273526,NA,NA
CCDC78,ENSG00000162004,coiled-coil domain containing 78 [Source:HGNC Symbol;Acc:HGNC:14153],C16ORF25; FLJ34512,614666,Centriole amplification mediated by deuterosome in multi-ciliated cells. Recruitment of Cep152 to the deuterosome required for centriole biogenesis.,basal body,24075808,NA,NA
CCNO,ENSG00000152669,cyclin O [Source:HGNC Symbol;Acc:HGNC:18576],CCNU; FLJ22422; UDG2; UNG2,607752,"Regulator of deuterosome formation and function for the amplification of centrioles in MCCs, for docking of centrioles to the apical cell membrane (25712475). Cyclin O is required to generate the basal bodies necessary for multiple cilia formation by promoting a process of centriole assembly and maturation (25048963)",basal body,25712475; 25048963,NA,NA
CCP110,ENSG00000103540,centriolar coiled-coil protein 110 [Source:HGNC Symbol;Acc:HGNC:24342],CP110; KIAA0419,609544,"Suppressor of ciliogenesis by acting simply as a passive physical barrier and by capping the growing ends of microtubules to prevent their elongation. Regulation the assembly of subdistal appendages (SDA) core components. Has a role in regulating centrosome duplication and separation (26965371). Regulates the length of centrioles and prevents aberrant formation of primary cilia, components to a CP110 scaffold may be needed to facilitate depolymerization (21620453). Studies suggest that CP110 might control discrete functions in the centrosome cycle and constitutes a set of controls that govern the switch from centriolar to basal body function (17719545).",basal body,26965371; 21620453; 17719545,CCP110-CEP290 complex; Distal appendage,NA
CCT2,ENSG00000166226,chaperonin containing TCP1 subunit 2 [Source:HGNC Symbol;Acc:HGNC:1615],CCTB,605139,"Roles in the folding of 尾- propeller proteins, such as G尾1, in addition to its major target proteins, actin and tubulin. Interacts with chaperonin type BBSs, including BBSs 6, 10, and 12. Mutations in CCT2 could lead to genetic reti l diseases (27645772)","basal body, cilia",27645772,NA,NA
CDC14A,ENSG00000079335,cell division cycle 14A [Source:HGNC Symbol;Acc:HGNC:1718],CDC14; CDC14A1; CDC14A2; DFNB105; DFNB32,603504,CDC14A activity in human and mouse is needed for the formation of the kinocilia in the organ of corti. Proline鈥,basal body,30467237; 23027426,NA,CellCycle DNARepair
CDC20,ENSG00000117399,cell division cycle 20 [Source:HGNC Symbol;Acc:HGNC:1723],CDC20A; P55CDC,603618,"Neuro l differentiation, ciliary formation or D  damage repair. Studies suggest that is involved in neuro l connectivity and plasticity (25850036). Potential activity in quiescent and differentiated cells, is recruited to the basal body of the primary cilium, where in complex with APC it negatively regulates ciliary length, by destabilizing axonemal microtubules (25139956).",basal body,25850036; 25139956,NA,CellCycle DNARepair
CDC20B,ENSG00000164287,cell division cycle 20B [Source:HGNC Symbol;Acc:HGNC:24222],FLJ37927,620335,"Specifically expressed in maturing multiciliated cells during the phase of centriole multiplication; it has been established the corresponding CDC20B protein as an essential regulator of centriole-deuterosome disengagement. Plays an essential and conserved role of in vertebrate multiciliogenesis. Function of promoting deuterosome assembly and/or activity, may contribute to activation of Separase. Involved in the production of centrioles (30405130).",cilia,30405130,NA,CellCycle DNARepair
